studentID,studentName,experience_months,studentSkills,studentLocationPref,InternshipID,InternshipTitle,InternshipSkills,InternshipLocation,SkillMatchScore,LocationMatch,ExperienceGap
1,Pooja Pau,5,"java,css,c",BR15,1,Intern IT,"ml,nodejs",Kochi,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,2,Assistant IT,"nodejs,excel",Hyderabad,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,3,Trainee IT,"sql,tableau",Kochi,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,4,Assistant Finance,"css,python,java,marketing",Navi Mumbai,0.5,0,-1
1,Pooja Pau,5,"java,css,c",BR15,5,Intern Consulting,"react,html,powerbi,python",Hubli–Dharwad,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,6,Assistant HR,"finance,marketing,html",Kulti,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,7,Intern Data Science,"html,python,negotiation",Machilipatnam,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,8,Trainee Data Science,"communication,c++",Sambalpur,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,9,Trainee Marketing,"java,c,ml,tableau",Tirupati,0.5,0,-1
1,Pooja Pau,5,"java,css,c",BR15,10,Trainee Finance,"java,ml,sales",Bhusawal,0.3333333333333333,0,-1
1,Pooja Pau,5,"java,css,c",BR15,11,Trainee Finance,"sales,nodejs,seo,powerbi",Mau,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,12,Intern Consulting,"marketing,tableau,css",Kochi,0.3333333333333333,0,-1
1,Pooja Pau,5,"java,css,c",BR15,13,Trainee Sales,"react,javascript",Ongole,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,14,Assistant Data Science,"c,powerbi,react",Ongole,0.3333333333333333,0,-1
1,Pooja Pau,5,"java,css,c",BR15,15,Intern Data Science,"tableau,nodejs,java,negotiation",Bhiwani,0.25,0,-1
1,Pooja Pau,5,"java,css,c",BR15,16,Assistant Marketing,"react,tableau,sql,marketing",Burhanpur,0.0,0,-1
1,Pooja Pau,5,"java,css,c",BR15,17,Trainee HR,"tableau,communication",Aligarh,0.0,0,-1
