studentID,studentName,experience_months,studentSkills,studentLocationPref,InternshipID,InternshipTitle,InternshipSkills,InternshipLocation
1,Pooja Pau,5,"java,css,c",BR15,1,Intern IT,"ml,nodejs",Kochi
1,Pooja Pau,5,"java,css,c",BR15,2,Assistant IT,"nodejs,excel",Hyderabad
1,Pooja Pau,5,"java,css,c",BR15,3,Trainee IT,"sql,tableau",Kochi
1,Pooja Pau,5,"java,css,c",BR15,4,Assistant Finance,"css,python,java,marketing",Navi Mumbai
1,Pooja Pau,5,"java,css,c",BR15,5,Intern Consulting,"react,html,powerbi,python",Hubli–Dharwad
1,Pooja Pau,5,"java,css,c",BR15,6,Assistant HR,"finance,marketing,html",Kulti
1,Pooja Pau,5,"java,css,c",BR15,7,Intern Data Science,"html,python,negotiation",Machilipatnam
1,Pooja Pau,5,"java,css,c",BR15,8,Trainee Data Science,"communication,c++",Sambalpur
1,Pooja Pau,5,"java,css,c",BR15,9,Trainee Marketing,"java,c,ml,tableau",Tirupati
1,Pooja Pau,5,"java,css,c",BR15,10,Trainee Finance,"java,ml,sales",Bhusawal
1,Pooja Pau,5,"java,css,c",BR15,11,Trainee Finance,"sales,nodejs,seo,powerbi",Mau
1,Pooja Pau,5,"java,css,c",BR15,12,Intern Consulting,"marketing,tableau,css",Kochi
1,Pooja Pau,5,"java,css,c",BR15,13,Trainee Sales,"react,javascript",Ongole
1,Pooja Pau,5,"java,css,c",BR15,14,Assistant Data Science,"c,powerbi,react",Ongole
1,Pooja Pau,5,"java,css,c",BR15,15,Intern Data Science,"tableau,nodejs,java,negotiation",Bhiwani
1,Pooja Pau,5,"java,css,c",BR15,16,Assistant Marketing,"react,tableau,sql,marketing",Burhanpur
1,Pooja Pau,5,"java,css,c",BR15,17,Trainee HR,"tableau,communication",Aligarh
1,Pooja Pau,5,"java,css,c",BR15,18,Trainee Sales,"marketing,communication,ml",Dhule
1,Pooja Pau,5,"java,css,c",BR15,19,Intern Consulting,"negotiation,javascript,c++,nodejs",Aurangabad
1,Pooja Pau,5,"java,css,c",BR15,20,Trainee IT,"c,python",Rajkot
1,Pooja Pau,5,"java,css,c",BR15,21,Trainee Sales,"tableau,sales,negotiation",Hazaribagh
